Scenario,Subset,Class_ID,Class_Name,Count
scenario_L60_U40,test,27,LACTOGEN PRO 0-6 mo 24x350g ID,4
scenario_L60_U40,test,28,LACTOGEN PRO 0-6 mo 40x180g ID,8
scenario_L60_U40,test,29,LACTOGEN PRO 6-12 mo 12x1kg ID,5
scenario_L60_U40,test,30,LACTOGEN PRO 6-12 mo 12x735g ID,4
scenario_L60_U40,test,31,LACTOGEN PRO 6-12 mo 24x350g ID,4
scenario_L60_U40,test,32,LACTOGEN PRO 6-12 mo 40x180g ID,7
scenario_L60_U40,test,33,LACTOGROW 3 Happynutri Honey 12x1kg N1 ID_REDESIGN2,4
scenario_L60_U40,test,34,LACTOGROW 3 Happynutri Honey 12x750g N1 ID_REDESIGN2,3
scenario_L60_U40,test,35,LACTOGROW 3 Happynutri Honey 24x350g N1 ID_REDESIGN2,3
scenario_L60_U40,test,36,LACTOGROW 3 Happynutri Honey 40x180g N1 ID_REDESIGN2,1
scenario_L60_U40,test,37,LACTOGROW 3 Happynutri Van 12x1kg ID_REDESIGN2,3
scenario_L60_U40,test,38,LACTOGROW 3 Happynutri Van 12x750g N1 ID_REDESIGN2,3
scenario_L60_U40,test,39,LACTOGROW 3 Happynutri Van 24x350g N1 ID_REDESIGN2,1
scenario_L60_U40,test,40,LACTOGROW PRO 1+ Honey 12x1kg ID,3
scenario_L60_U40,test,41,LACTOGROW PRO 1+ Honey 12x735g ID,2
scenario_L60_U40,test,42,LACTOGROW PRO 1+ Honey 24x350g ID,6
scenario_L60_U40,test,43,LACTOGROW PRO 1+ Honey 40x145g ID,3
scenario_L60_U40,test,44,LACTOGROW PRO 1+ Van 12x1kg ID,4
scenario_L60_U40,test,45,LACTOGROW PRO 1+ Van 12x735g ID,3
scenario_L60_U40,test,46,LACTOGROW PRO 1+ Van 24x350g ID,4
